iter	RMSE
0	14.92514378
1	14.83338428
2	14.74309411
3	14.65137945
4	14.56923078
5	14.48083515
6	14.4012508
7	14.31241183
8	14.24304125
9	14.15800263
10	14.07982993
11	14.00102558
12	13.92699715
13	13.84800916
14	13.76232359
15	13.69466237
16	13.62680961
17	13.56590765
18	13.48828364
19	13.41259237
20	13.35738472
21	13.28709114
22	13.21157965
23	13.13812622
24	13.07070997
25	12.99698727
26	12.93856387
27	12.8638545
28	12.7931664
29	12.72208603
30	12.66685458
31	12.60502831
32	12.54265149
33	12.47399004
34	12.40605259
35	12.33549659
36	12.27086873
37	12.20729322
38	12.14821629
39	12.09024964
40	12.03862188
41	11.97933479
42	11.91438744
43	11.86069249
44	11.79471009
45	11.74033552
46	11.68591652
47	11.62700094
48	11.5816708
49	11.52893034
50	11.47236289
51	11.42305753
52	11.36578267
53	11.30614838
54	11.24779023
55	11.19744363
56	11.14936007
57	11.09335215
58	11.04066574
59	10.99106293
60	10.93692439
61	10.88296019
62	10.83872661
63	10.79461193
64	10.74858503
65	10.700129
66	10.66159896
67	10.61872186
68	10.5718659
69	10.53145925
70	10.47933165
71	10.43704829
72	10.39067449
73	10.34585272
74	10.29840075
75	10.25736149
76	10.21144203
77	10.16466014
78	10.12490164
79	10.0771276
80	10.02948951
81	9.9933524
82	9.956917448
83	9.915126905
84	9.874947772
85	9.835270098
86	9.793777301
87	9.756533452
88	9.711526449
89	9.669506909
90	9.631614795
91	9.588045882
92	9.549300067
93	9.514271006
94	9.472592266
95	9.439789113
96	9.401334985
97	9.361126587
98	9.331140781
99	9.299569292
100	9.266989961
101	9.235870909
102	9.210362551
103	9.17829451
104	9.141035785
105	9.105947618
106	9.07167252
107	9.039349003
108	9.006677355
109	8.978162559
110	8.948411656
111	8.911768195
112	8.879761975
113	8.853495476
114	8.828086447
115	8.797291122
116	8.77273091
117	8.742097978
118	8.715649962
119	8.688885204
120	8.662330404
121	8.632724865
122	8.604220662
123	8.573409926
124	8.54651042
125	8.522551401
126	8.493371956
127	8.470704125
128	8.44963181
129	8.421340412
130	8.398234862
131	8.368798881
132	8.341669381
133	8.315928144
134	8.290574582
135	8.265890923
136	8.242141915
137	8.219335388
138	8.194772307
139	8.168827053
140	8.14937057
141	8.130519063
142	8.110690947
143	8.087561569
144	8.060001451
145	8.03423248
146	8.015323175
147	7.992767789
148	7.967143712
149	7.945939911
150	7.925253797
151	7.902655734
152	7.882609111
153	7.858243606
154	7.840550909
155	7.819946167
156	7.800889514
157	7.780842405
158	7.760450266
159	7.741728899
160	7.724363642
161	7.700740014
162	7.681566202
163	7.661621982
164	7.643108619
165	7.625456287
166	7.605007111
167	7.586434051
168	7.569621772
169	7.553119109
170	7.530999138
171	7.511423774
172	7.492188854
173	7.475345886
174	7.459600437
175	7.444791318
176	7.424422073
177	7.411043937
178	7.393846653
179	7.378441748
180	7.361509693
181	7.343982108
182	7.324778752
183	7.307479498
184	7.290702722
185	7.275818424
186	7.263927053
187	7.250979389
188	7.235888275
189	7.22301023
190	7.207912847
191	7.19130594
192	7.173969881
193	7.159386097
194	7.145575752
195	7.131629352
196	7.121147062
197	7.106840301
198	7.092895287
199	7.075639505
200	7.060929682
201	7.046718795
202	7.033252446
203	7.016802063
204	7.001392313
205	6.990558691
206	6.975622371
207	6.962915197
208	6.94716243
209	6.934077795
210	6.921229577
211	6.908936622
212	6.897068558
213	6.885506225
214	6.873185582
215	6.861549954
216	6.849999618
217	6.839701587
218	6.82809263
219	6.814612351
220	6.801795451
221	6.788543312
222	6.777443789
223	6.7672198
224	6.756539815
225	6.746844571
226	6.736678491
227	6.725872061
228	6.712671682
229	6.701582067
230	6.691240153
231	6.683302705
232	6.675978528
233	6.663959857
234	6.65493326
235	6.642490418
236	6.633256193
237	6.623766863
238	6.612071881
239	6.601854404
240	6.593422704
241	6.58270903
242	6.5746174
243	6.563427985
244	6.554157169
245	6.544330297
246	6.534919821
247	6.525268368
248	6.515559027
249	6.507306723
250	6.498015839
251	6.489206167
252	6.478566204
253	6.470275795
254	6.460933443
255	6.452683359
256	6.444535047
257	6.437021731
258	6.429060196
259	6.418563395
260	6.410628221
261	6.403716567
262	6.395104096
263	6.387268476
264	6.378428905
265	6.369051235
266	6.361809104
267	6.354052724
268	6.346343573
269	6.336623885
270	6.329403691
271	6.320969442
272	6.313940436
273	6.305925221
274	6.3006824
275	6.293912443
276	6.288910037
277	6.282322496
278	6.276181686
279	6.270070693
280	6.26238055
281	6.255803912
282	6.249650772
283	6.245499547
284	6.236954838
285	6.229369705
286	6.222947271
287	6.216711131
288	6.209343602
289	6.203113751
290	6.197188201
291	6.192520376
292	6.187414021
293	6.181961206
294	6.176952881
295	6.17017539
296	6.16415589
297	6.157666232
298	6.150496071
299	6.145311743
300	6.140317085
301	6.134853805
302	6.129062225
303	6.124238028
304	6.118847389
305	6.113148788
306	6.10767202
307	6.100915313
308	6.09513762
309	6.091610992
310	6.085577861
311	6.079595857
312	6.074553058
313	6.068591438
314	6.061447958
315	6.056248752
316	6.051043213
317	6.047400677
318	6.04196139
319	6.036803822
320	6.032730405
